suhu,kelembaban,kelembaban_tanah,intensitas_cahaya,label
28.03,31.68,33.27,29.68,1
22.96,31.49,29.36,55.53,1
19.71,65.55,67.45,10.24,0
34.49,50.3,21.34,18.93,1
26.05,88.51,39.97,59.76,1
28.67,32.48,29.41,35.82,1
27.48,52.33,39.21,28.96,1
18.91,73.89,25.68,44.34,1
31.67,76.33,29.6,13.33,1
32.94,48.84,57.37,45.35,0
26.13,45.48,53.5,90.81,0
17.11,32.75,21.69,66.35,1
34.43,61.97,78.3,87.51,0
20.29,68.91,22.63,48.89,1
24.81,40.86,74.43,88.0,0
29.75,62.19,65.13,58.16,0
32.95,80.35,34.57,15.2,1
16.36,75.69,64.54,21.93,0
23.16,42.52,50.55,75.84,0
23.6,61.14,22.6,29.94,1
16.78,67.44,29.62,91.66,1
19.26,38.22,76.12,61.08,0
17.17,56.04,43.02,51.63,0
22.74,50.31,70.93,32.16,0
20.05,84.95,44.3,87.86,0
34.37,85.3,70.07,24.53,0
22.53,89.04,32.7,81.06,1
26.58,73.18,25.1,36.95,1
15.8,65.51,47.27,86.43,0
27.29,70.26,30.38,20.91,1
23.09,65.24,48.72,94.02,0
28.01,47.96,36.05,78.16,1
16.85,43.17,32.11,93.65,1
31.83,71.72,55.08,98.65,0
27.87,86.39,23.5,20.49,1
29.34,42.62,56.57,33.35,0
23.61,46.36,15.47,79.45,1
23.96,30.63,20.23,89.56,1
18.26,38.01,35.44,90.62,1
19.9,36.29,65.36,90.0,0
31.82,88.81,67.53,89.76,0
31.33,81.45,68.07,34.37,0
19.74,78.72,44.44,37.16,0
21.71,81.76,78.33,35.16,0
34.25,36.69,77.68,26.01,0
29.46,48.9,54.16,56.24,0
15.28,85.71,49.86,74.32,0
28.5,49.61,35.21,86.23,1
23.49,47.92,23.68,47.96,1
20.95,62.96,15.18,35.79,1
24.14,42.49,45.34,91.12,1
27.83,49.84,67.9,77.13,0
19.81,58.64,69.93,16.75,0
25.14,44.91,57.25,10.42,0
18.27,87.83,48.62,14.82,0
28.74,89.39,53.92,95.51,0
31.59,62.63,73.07,77.07,0
29.89,61.06,55.51,34.53,0
26.01,37.87,29.94,72.5,1
23.4,42.61,42.67,91.7,1
22.96,30.81,37.78,78.06,1
25.86,65.72,29.17,29.93,1
23.21,39.43,45.27,21.55,1
15.09,68.44,23.53,51.38,1
29.98,52.33,63.4,84.91,1
35.15,51.25,57.71,80.01,1
15.47,38.86,23.4,70.52,1
18.68,66.9,63.22,19.83,0
21.45,70.22,77.47,45.83,0
16.66,76.83,70.55,63.88,0
23.92,52.56,47.49,41.17,0
27.95,80.19,60.75,49.5,0
25.53,59.36,43.64,75.38,0
32.51,44.16,45.56,64.61,1
19.44,77.65,36.63,89.68,1
16.9,73.35,46.75,78.53,0
16.94,43.27,60.0,37.48,0
29.67,49.47,60.38,34.0,0
25.7,75.96,27.51,29.5,1
20.34,35.55,27.65,30.25,1
34.85,63.19,60.7,21.44,0
24.83,56.41,27.31,14.52,1
16.54,67.57,18.98,23.05,1
30.31,66.33,66.34,30.67,0
35.04,48.77,55.07,64.58,0
27.71,39.37,26.39,16.55,1
19.82,72.84,60.98,50.99,0
28.37,86.43,42.96,58.58,0
18.11,48.08,63.87,61.43,0
33.39,59.96,46.92,16.99,0
17.28,88.21,69.51,61.54,0
16.22,75.06,45.67,68.77,0
25.0,35.83,37.45,40.19,1
20.72,86.53,67.71,59.98,0
